,tripid,pickup_node,dropoff_node,pickup_day,pickup_hour,pickup_minute,pickup_datetime,route,dropoff_datetime,trip_duration,node_timestamps
10,10,306221671,280324491,1,1,7,2022-01-01 01:07:00,"[306221671, 306221807, 306221765, 306225000, 306224552, 306225009, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 280324485, 280324491]",2022-01-01 01:12:58.600,358.6,"{306221671: '2022-01-01 01:07:00', 306221807: '2022-01-01 01:07:22', 306221765: '2022-01-01 01:07:44', 306225000: '2022-01-01 01:08:07', 306224552: '2022-01-01 01:08:29', 306225009: '2022-01-01 01:08:52', 306225011: '2022-01-01 01:09:14', 306225115: '2022-01-01 01:09:36', 306221900: '2022-01-01 01:09:59', 306222385: '2022-01-01 01:10:21', 306222128: '2022-01-01 01:10:44', 307662242: '2022-01-01 01:11:06', 309450366: '2022-01-01 01:11:28', 307662284: '2022-01-01 01:11:51', 307662889: '2022-01-01 01:12:13', 280324485: '2022-01-01 01:12:36', 280324491: '2022-01-01 01:12:58'}"
11,11,307661801,307662198,1,11,38,2022-01-01 11:38:00,"[307661801, 307662198]",2022-01-01 11:38:04.800,4.8,"{307661801: '2022-01-01 11:38:00', 307662198: '2022-01-01 11:38:04'}"
12,12,280324485,306221765,1,9,55,2022-01-01 09:55:00,"[280324485, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306221653, 306225000, 306221765]",2022-01-01 10:00:22.300,322.3,"{280324485: '2022-01-01 09:55:00', 307662889: '2022-01-01 09:55:26', 307662284: '2022-01-01 09:55:53', 309450366: '2022-01-01 09:56:20', 307662242: '2022-01-01 09:56:47', 306222128: '2022-01-01 09:57:14', 306222385: '2022-01-01 09:57:41', 306221900: '2022-01-01 09:58:08', 306225115: '2022-01-01 09:58:34', 306225011: '2022-01-01 09:59:01', 306221653: '2022-01-01 09:59:28', 306225000: '2022-01-01 09:59:55', 306221765: '2022-01-01 10:00:22'}"
13,13,306221653,309450344,1,11,21,2022-01-01 11:21:00,"[306221653, 306225011, 306225115, 306221900, 306222385, 306222128, 309450229, 1633571571, 309450340, 309450344]",2022-01-01 11:22:18.700,78.7,"{306221653: '2022-01-01 11:21:00', 306225011: '2022-01-01 11:21:08', 306225115: '2022-01-01 11:21:17', 306221900: '2022-01-01 11:21:26', 306222385: '2022-01-01 11:21:34', 306222128: '2022-01-01 11:21:43', 309450229: '2022-01-01 11:21:52', 1633571571: '2022-01-01 11:22:01', 309450340: '2022-01-01 11:22:09', 309450344: '2022-01-01 11:22:18'}"
14,14,307664257,309450340,1,10,3,2022-01-01 10:03:00,"[307664257, 290333443, 290333444, 304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 309450229, 1633571571, 309450340]",2022-01-01 10:07:45.700,285.7,"{307664257: '2022-01-01 10:03:00', 290333443: '2022-01-01 10:03:23', 290333444: '2022-01-01 10:03:47', 304525639: '2022-01-01 10:04:11', 307663269: '2022-01-01 10:04:35', 307662889: '2022-01-01 10:04:59', 307662284: '2022-01-01 10:05:22', 309450366: '2022-01-01 10:05:46', 307662242: '2022-01-01 10:06:10', 306222128: '2022-01-01 10:06:34', 309450229: '2022-01-01 10:06:58', 1633571571: '2022-01-01 10:07:21', 309450340: '2022-01-01 10:07:45'}"
15,15,307662199,306222385,1,4,42,2022-01-01 04:42:00,"[307662199, 307662198, 307661801, 307662284, 309450366, 307662242, 306222128, 306222385]",2022-01-01 04:43:00.200,60.2,"{307662199: '2022-01-01 04:42:00', 307662198: '2022-01-01 04:42:08', 307661801: '2022-01-01 04:42:17', 307662284: '2022-01-01 04:42:25', 309450366: '2022-01-01 04:42:34', 307662242: '2022-01-01 04:42:43', 306222128: '2022-01-01 04:42:51', 306222385: '2022-01-01 04:43:00'}"
16,16,306221671,307662284,1,19,16,2022-01-01 19:16:00,"[306221671, 306221807, 306221765, 306225000, 306224552, 306225009, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284]",2022-01-01 19:18:04.600,124.6,"{306221671: '2022-01-01 19:16:00', 306221807: '2022-01-01 19:16:09', 306221765: '2022-01-01 19:16:19', 306225000: '2022-01-01 19:16:28', 306224552: '2022-01-01 19:16:38', 306225009: '2022-01-01 19:16:47', 306225011: '2022-01-01 19:16:57', 306225115: '2022-01-01 19:17:07', 306221900: '2022-01-01 19:17:16', 306222385: '2022-01-01 19:17:26', 306222128: '2022-01-01 19:17:35', 307662242: '2022-01-01 19:17:45', 309450366: '2022-01-01 19:17:55', 307662284: '2022-01-01 19:18:04'}"
17,17,307662284,309441562,1,4,47,2022-01-01 04:47:00,"[307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950, 309441547, 309441548, 309441562]",2022-01-01 04:49:17.000,137.0,"{307662284: '2022-01-01 04:47:00', 309450366: '2022-01-01 04:47:10', 307662242: '2022-01-01 04:47:21', 306222128: '2022-01-01 04:47:31', 306222385: '2022-01-01 04:47:42', 306221900: '2022-01-01 04:47:52', 306221960: '2022-01-01 04:48:03', 306222676: '2022-01-01 04:48:13', 306221941: '2022-01-01 04:48:24', 399384843: '2022-01-01 04:48:34', 306221950: '2022-01-01 04:48:45', 309441547: '2022-01-01 04:48:55', 309441548: '2022-01-01 04:49:06', 309441562: '2022-01-01 04:49:17'}"
18,18,309450366,309450229,1,7,41,2022-01-01 07:41:00,"[309450366, 307662242, 306222128, 309450229]",2022-01-01 07:41:18.500,18.5,"{309450366: '2022-01-01 07:41:00', 307662242: '2022-01-01 07:41:06', 306222128: '2022-01-01 07:41:12', 309450229: '2022-01-01 07:41:18'}"
19,19,280324476,308304289,1,5,41,2022-01-01 05:41:00,"[280324476, 280324485, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306221653, 306225000, 306221765, 306221807, 306221802, 306221804, 308304289]",2022-01-01 05:47:44.900,404.9,"{280324476: '2022-01-01 05:41:00', 280324485: '2022-01-01 05:41:23', 307662889: '2022-01-01 05:41:47', 307662284: '2022-01-01 05:42:11', 309450366: '2022-01-01 05:42:35', 307662242: '2022-01-01 05:42:59', 306222128: '2022-01-01 05:43:22', 306222385: '2022-01-01 05:43:46', 306221900: '2022-01-01 05:44:10', 306225115: '2022-01-01 05:44:34', 306225011: '2022-01-01 05:44:58', 306221653: '2022-01-01 05:45:21', 306225000: '2022-01-01 05:45:45', 306221765: '2022-01-01 05:46:09', 306221807: '2022-01-01 05:46:33', 306221802: '2022-01-01 05:46:57', 306221804: '2022-01-01 05:47:21', 308304289: '2022-01-01 05:47:44'}"
20,20,309450344,290333444,1,20,40,2022-01-01 20:40:00,"[309450344, 309450340, 1633571571, 309450229, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 304525639, 290333444]",2022-01-01 20:44:47.500,287.5,"{309450344: '2022-01-01 20:40:00', 309450340: '2022-01-01 20:40:26', 1633571571: '2022-01-01 20:40:52', 309450229: '2022-01-01 20:41:18', 306222128: '2022-01-01 20:41:44', 307662242: '2022-01-01 20:42:10', 309450366: '2022-01-01 20:42:36', 307662284: '2022-01-01 20:43:02', 307662889: '2022-01-01 20:43:29', 307663269: '2022-01-01 20:43:55', 304525639: '2022-01-01 20:44:21', 290333444: '2022-01-01 20:44:47'}"
21,21,308304289,297675884,1,5,9,2022-01-01 05:09:00,"[308304289, 306221804, 306221802, 306221807, 306221765, 306225000, 306221653, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 297675884]",2022-01-01 05:15:04.800,364.8,"{308304289: '2022-01-01 05:09:00', 306221804: '2022-01-01 05:09:21', 306221802: '2022-01-01 05:09:42', 306221807: '2022-01-01 05:10:04', 306221765: '2022-01-01 05:10:25', 306225000: '2022-01-01 05:10:47', 306221653: '2022-01-01 05:11:08', 306225011: '2022-01-01 05:11:30', 306225115: '2022-01-01 05:11:51', 306221900: '2022-01-01 05:12:13', 306222385: '2022-01-01 05:12:34', 306222128: '2022-01-01 05:12:56', 307662242: '2022-01-01 05:13:17', 309450366: '2022-01-01 05:13:38', 307662284: '2022-01-01 05:14:00', 307662889: '2022-01-01 05:14:21', 307663269: '2022-01-01 05:14:43', 297675884: '2022-01-01 05:15:04'}"
22,22,306222128,306225115,1,11,31,2022-01-01 11:31:00,"[306222128, 306222385, 306221900, 306225115]",2022-01-01 11:31:31.100,31.1,"{306222128: '2022-01-01 11:31:00', 306222385: '2022-01-01 11:31:10', 306221900: '2022-01-01 11:31:20', 306225115: '2022-01-01 11:31:31'}"
23,23,304525639,306221765,1,14,30,2022-01-01 14:30:00,"[304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306221653, 306225000, 306221765]",2022-01-01 14:35:08.900,308.9,"{304525639: '2022-01-01 14:30:00', 307663269: '2022-01-01 14:30:23', 307662889: '2022-01-01 14:30:47', 307662284: '2022-01-01 14:31:11', 309450366: '2022-01-01 14:31:35', 307662242: '2022-01-01 14:31:58', 306222128: '2022-01-01 14:32:22', 306222385: '2022-01-01 14:32:46', 306221900: '2022-01-01 14:33:10', 306225115: '2022-01-01 14:33:33', 306225011: '2022-01-01 14:33:57', 306221653: '2022-01-01 14:34:21', 306225000: '2022-01-01 14:34:45', 306221765: '2022-01-01 14:35:08'}"
24,24,7756059836,399384843,1,2,41,2022-01-01 02:41:00,"[7756059836, 7756059845, 307662149, 307661801, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843]",2022-01-01 02:42:31.500,91.5,"{7756059836: '2022-01-01 02:41:00', 7756059845: '2022-01-01 02:41:07', 307662149: '2022-01-01 02:41:14', 307661801: '2022-01-01 02:41:21', 307662284: '2022-01-01 02:41:28', 309450366: '2022-01-01 02:41:35', 307662242: '2022-01-01 02:41:42', 306222128: '2022-01-01 02:41:49', 306222385: '2022-01-01 02:41:56', 306221900: '2022-01-01 02:42:03', 306221960: '2022-01-01 02:42:10', 306222676: '2022-01-01 02:42:17', 306221941: '2022-01-01 02:42:24', 399384843: '2022-01-01 02:42:31'}"
25,25,306221960,306221900,1,23,26,2022-01-01 23:26:00,"[306221960, 306221900]",2022-01-01 23:26:00.500,0.5,"{306221960: '2022-01-01 23:26:00', 306221900: '2022-01-01 23:26:00'}"
26,26,290333444,1479963453,1,17,10,2022-01-01 17:10:00,"[290333444, 304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950, 309441547, 309441548, 309441562, 1479963453]",2022-01-01 17:17:11.400,431.4,"{290333444: '2022-01-01 17:10:00', 304525639: '2022-01-01 17:10:23', 307663269: '2022-01-01 17:10:47', 307662889: '2022-01-01 17:11:11', 307662284: '2022-01-01 17:11:35', 309450366: '2022-01-01 17:11:59', 307662242: '2022-01-01 17:12:23', 306222128: '2022-01-01 17:12:47', 306222385: '2022-01-01 17:13:11', 306221900: '2022-01-01 17:13:35', 306221960: '2022-01-01 17:13:59', 306222676: '2022-01-01 17:14:23', 306221941: '2022-01-01 17:14:47', 399384843: '2022-01-01 17:15:11', 306221950: '2022-01-01 17:15:35', 309441547: '2022-01-01 17:15:59', 309441548: '2022-01-01 17:16:23', 309441562: '2022-01-01 17:16:47', 1479963453: '2022-01-01 17:17:11'}"
27,27,290333444,306222676,1,8,4,2022-01-01 08:04:00,"[290333444, 304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676]",2022-01-01 08:08:37.200,277.2,"{290333444: '2022-01-01 08:04:00', 304525639: '2022-01-01 08:04:25', 307663269: '2022-01-01 08:04:50', 307662889: '2022-01-01 08:05:15', 307662284: '2022-01-01 08:05:40', 309450366: '2022-01-01 08:06:06', 307662242: '2022-01-01 08:06:31', 306222128: '2022-01-01 08:06:56', 306222385: '2022-01-01 08:07:21', 306221900: '2022-01-01 08:07:46', 306221960: '2022-01-01 08:08:12', 306222676: '2022-01-01 08:08:37'}"
28,28,354863308,306219024,1,15,53,2022-01-01 15:53:00,"[354863308, 1633571571, 309450229, 306226719, 306222462, 306218723, 306219024]",2022-01-01 15:57:19.900,259.9,"{354863308: '2022-01-01 15:53:00', 1633571571: '2022-01-01 15:53:43', 309450229: '2022-01-01 15:54:26', 306226719: '2022-01-01 15:55:09', 306222462: '2022-01-01 15:55:53', 306218723: '2022-01-01 15:56:36', 306219024: '2022-01-01 15:57:19'}"
29,29,307662889,309441547,1,0,12,2022-01-01 00:12:00,"[307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950, 309441547]",2022-01-01 00:16:01.200,241.2,"{307662889: '2022-01-01 00:12:00', 307662284: '2022-01-01 00:12:20', 309450366: '2022-01-01 00:12:40', 307662242: '2022-01-01 00:13:00', 306222128: '2022-01-01 00:13:20', 306222385: '2022-01-01 00:13:40', 306221900: '2022-01-01 00:14:00', 306221960: '2022-01-01 00:14:20', 306222676: '2022-01-01 00:14:40', 306221941: '2022-01-01 00:15:00', 399384843: '2022-01-01 00:15:21', 306221950: '2022-01-01 00:15:41', 309441547: '2022-01-01 00:16:01'}"
30,30,309450344,309450340,1,20,31,2022-01-01 20:31:00,"[309450344, 309450340]",2022-01-01 20:31:09.500,9.5,"{309450344: '2022-01-01 20:31:00', 309450340: '2022-01-01 20:31:09'}"
31,31,309441548,307662242,1,22,9,2022-01-01 22:09:00,"[309441548, 309441562, 309441547, 306221950, 399384843, 306221941, 306222676, 306221960, 306221900, 306222385, 306222128, 307662242]",2022-01-01 22:10:56.700,116.7,"{309441548: '2022-01-01 22:09:00', 309441562: '2022-01-01 22:09:10', 309441547: '2022-01-01 22:09:21', 306221950: '2022-01-01 22:09:31', 399384843: '2022-01-01 22:09:42', 306221941: '2022-01-01 22:09:53', 306222676: '2022-01-01 22:10:03', 306221960: '2022-01-01 22:10:14', 306221900: '2022-01-01 22:10:24', 306222385: '2022-01-01 22:10:35', 306222128: '2022-01-01 22:10:46', 307662242: '2022-01-01 22:10:56'}"
32,32,307662198,291556214,1,10,41,2022-01-01 10:41:00,"[307662198, 307661801, 307662284, 307662889, 307663269, 297675884, 291556214]",2022-01-01 10:45:33.200,273.2,"{307662198: '2022-01-01 10:41:00', 307661801: '2022-01-01 10:41:45', 307662284: '2022-01-01 10:42:31', 307662889: '2022-01-01 10:43:16', 307663269: '2022-01-01 10:44:02', 297675884: '2022-01-01 10:44:47', 291556214: '2022-01-01 10:45:33'}"
33,33,7756059845,280324476,1,9,28,2022-01-01 09:28:00,"[7756059845, 307662149, 307661801, 307662284, 307662889, 280324485, 280324476]",2022-01-01 09:32:32.400,272.4,"{7756059845: '2022-01-01 09:28:00', 307662149: '2022-01-01 09:28:45', 307661801: '2022-01-01 09:29:30', 307662284: '2022-01-01 09:30:16', 307662889: '2022-01-01 09:31:01', 280324485: '2022-01-01 09:31:47', 280324476: '2022-01-01 09:32:32'}"
34,34,306222385,307664257,1,5,58,2022-01-01 05:58:00,"[306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 304525639, 290333444, 290333443, 307664257]",2022-01-01 06:02:39.300,279.3,"{306222385: '2022-01-01 05:58:00', 306222128: '2022-01-01 05:58:27', 307662242: '2022-01-01 05:58:55', 309450366: '2022-01-01 05:59:23', 307662284: '2022-01-01 05:59:51', 307662889: '2022-01-01 06:00:19', 307663269: '2022-01-01 06:00:47', 304525639: '2022-01-01 06:01:15', 290333444: '2022-01-01 06:01:43', 290333443: '2022-01-01 06:02:11', 307664257: '2022-01-01 06:02:39'}"
35,35,307662199,308304288,1,17,17,2022-01-01 17:17:00,"[307662199, 307662198, 307661801, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306221653, 306225000, 306221765, 306221807, 306221802, 306221804, 308304289, 308304288]",2022-01-01 17:19:57.500,177.5,"{307662199: '2022-01-01 17:17:00', 307662198: '2022-01-01 17:17:09', 307661801: '2022-01-01 17:17:19', 307662284: '2022-01-01 17:17:29', 309450366: '2022-01-01 17:17:39', 307662242: '2022-01-01 17:17:49', 306222128: '2022-01-01 17:17:59', 306222385: '2022-01-01 17:18:09', 306221900: '2022-01-01 17:18:18', 306225115: '2022-01-01 17:18:28', 306225011: '2022-01-01 17:18:38', 306221653: '2022-01-01 17:18:48', 306225000: '2022-01-01 17:18:58', 306221765: '2022-01-01 17:19:08', 306221807: '2022-01-01 17:19:18', 306221802: '2022-01-01 17:19:27', 306221804: '2022-01-01 17:19:37', 308304289: '2022-01-01 17:19:47', 308304288: '2022-01-01 17:19:57'}"
36,36,354863048,306221950,1,7,39,2022-01-01 07:39:00,"[354863048, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950]",2022-01-01 07:40:28.000,88.0,"{354863048: '2022-01-01 07:39:00', 309450366: '2022-01-01 07:39:08', 307662242: '2022-01-01 07:39:17', 306222128: '2022-01-01 07:39:26', 306222385: '2022-01-01 07:39:35', 306221900: '2022-01-01 07:39:44', 306221960: '2022-01-01 07:39:52', 306222676: '2022-01-01 07:40:01', 306221941: '2022-01-01 07:40:10', 399384843: '2022-01-01 07:40:19', 306221950: '2022-01-01 07:40:28'}"
37,37,307663269,306222383,1,11,35,2022-01-01 11:35:00,"[307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306222383]",2022-01-01 11:39:09.400,249.4,"{307663269: '2022-01-01 11:35:00', 307662889: '2022-01-01 11:35:35', 307662284: '2022-01-01 11:36:11', 309450366: '2022-01-01 11:36:46', 307662242: '2022-01-01 11:37:22', 306222128: '2022-01-01 11:37:58', 306222385: '2022-01-01 11:38:33', 306222383: '2022-01-01 11:39:09'}"
38,38,399384843,304525639,1,0,28,2022-01-01 00:28:00,"[399384843, 306221941, 306222676, 306221960, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 304525639]",2022-01-01 00:32:28.000,268.0,"{399384843: '2022-01-01 00:28:00', 306221941: '2022-01-01 00:28:22', 306222676: '2022-01-01 00:28:44', 306221960: '2022-01-01 00:29:06', 306221900: '2022-01-01 00:29:29', 306222385: '2022-01-01 00:29:51', 306222128: '2022-01-01 00:30:13', 307662242: '2022-01-01 00:30:36', 309450366: '2022-01-01 00:30:58', 307662284: '2022-01-01 00:31:20', 307662889: '2022-01-01 00:31:43', 307663269: '2022-01-01 00:32:05', 304525639: '2022-01-01 00:32:28'}"
39,39,307662242,307664257,1,14,11,2022-01-01 14:11:00,"[307662242, 309450366, 307662284, 307662889, 307663269, 304525639, 290333444, 290333443, 307664257]",2022-01-01 14:15:16.200,256.2,"{307662242: '2022-01-01 14:11:00', 309450366: '2022-01-01 14:11:32', 307662284: '2022-01-01 14:12:04', 307662889: '2022-01-01 14:12:36', 307663269: '2022-01-01 14:13:08', 304525639: '2022-01-01 14:13:40', 290333444: '2022-01-01 14:14:12', 290333443: '2022-01-01 14:14:44', 307664257: '2022-01-01 14:15:16'}"
40,40,308304289,306221804,1,23,46,2022-01-01 23:46:00,"[308304289, 306221804]",2022-01-01 23:46:27.900,27.9,"{308304289: '2022-01-01 23:46:00', 306221804: '2022-01-01 23:46:27'}"
41,41,280430536,399384843,1,0,53,2022-01-01 00:53:00,"[280430536, 307661801, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843]",2022-01-01 00:54:34.900,94.9,"{280430536: '2022-01-01 00:53:00', 307661801: '2022-01-01 00:53:08', 307662284: '2022-01-01 00:53:17', 309450366: '2022-01-01 00:53:25', 307662242: '2022-01-01 00:53:34', 306222128: '2022-01-01 00:53:43', 306222385: '2022-01-01 00:53:51', 306221900: '2022-01-01 00:54:00', 306221960: '2022-01-01 00:54:09', 306222676: '2022-01-01 00:54:17', 306221941: '2022-01-01 00:54:26', 399384843: '2022-01-01 00:54:34'}"
42,42,306221765,306224552,1,0,49,2022-01-01 00:49:00,"[306221765, 306225000, 306224552]",2022-01-01 00:49:03.700,3.7,"{306221765: '2022-01-01 00:49:00', 306225000: '2022-01-01 00:49:01', 306224552: '2022-01-01 00:49:03'}"
43,43,306221900,306222383,1,1,30,2022-01-01 01:30:00,"[306221900, 306222385, 306222383]",2022-01-01 01:30:13.000,13.0,"{306221900: '2022-01-01 01:30:00', 306222385: '2022-01-01 01:30:06', 306222383: '2022-01-01 01:30:13'}"
44,44,290333443,306221807,1,15,47,2022-01-01 15:47:00,"[290333443, 290333444, 304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306225009, 306224552, 306225000, 306221765, 306221807]",2022-01-01 15:52:44.800,344.8,"{290333443: '2022-01-01 15:47:00', 290333444: '2022-01-01 15:47:20', 304525639: '2022-01-01 15:47:40', 307663269: '2022-01-01 15:48:00', 307662889: '2022-01-01 15:48:21', 307662284: '2022-01-01 15:48:41', 309450366: '2022-01-01 15:49:01', 307662242: '2022-01-01 15:49:21', 306222128: '2022-01-01 15:49:42', 306222385: '2022-01-01 15:50:02', 306221900: '2022-01-01 15:50:22', 306225115: '2022-01-01 15:50:43', 306225011: '2022-01-01 15:51:03', 306225009: '2022-01-01 15:51:23', 306224552: '2022-01-01 15:51:43', 306225000: '2022-01-01 15:52:04', 306221765: '2022-01-01 15:52:24', 306221807: '2022-01-01 15:52:44'}"
45,45,306221765,308304288,1,9,5,2022-01-01 09:05:00,"[306221765, 306221807, 306221802, 306221804, 308304289, 308304288]",2022-01-01 09:05:57.500,57.5,"{306221765: '2022-01-01 09:05:00', 306221807: '2022-01-01 09:05:11', 306221802: '2022-01-01 09:05:23', 306221804: '2022-01-01 09:05:34', 308304289: '2022-01-01 09:05:46', 308304288: '2022-01-01 09:05:57'}"
