,tripid,pickup_node,dropoff_node,pickup_day,pickup_hour,pickup_minute,pickup_datetime,route,dropoff_datetime,trip_duration,node_timestamps,route_length,passenger_count,provider,total_price
10,10,306221671,280324491,1,1,55,2022-01-01 01:55:00,"[306221671, 306221807, 306221765, 306225000, 306224552, 306225009, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 280324485, 280324491]",2022-01-01 02:00:58.600,358.6,"{306221671: '2022-01-01 01:55:00', 306221807: '2022-01-01 01:55:22', 306221765: '2022-01-01 01:55:44', 306225000: '2022-01-01 01:56:07', 306224552: '2022-01-01 01:56:29', 306225009: '2022-01-01 01:56:52', 306225011: '2022-01-01 01:57:14', 306225115: '2022-01-01 01:57:36', 306221900: '2022-01-01 01:57:59', 306222385: '2022-01-01 01:58:21', 306222128: '2022-01-01 01:58:44', 307662242: '2022-01-01 01:59:06', 309450366: '2022-01-01 01:59:28', 307662284: '2022-01-01 01:59:51', 307662889: '2022-01-01 02:00:13', 280324485: '2022-01-01 02:00:36', 280324491: '2022-01-01 02:00:58'}",2954.4730901789426,4,3,3.3802893059260857
11,11,307661801,307662198,1,0,45,2022-01-01 00:45:00,"[307661801, 307662198]",2022-01-01 00:45:04.800,4.8,"{307661801: '2022-01-01 00:45:00', 307662198: '2022-01-01 00:45:04'}",40.100583004899896,1,1,5.690144652963043
12,12,280324485,306221765,1,12,44,2022-01-01 12:44:00,"[280324485, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306221653, 306225000, 306221765]",2022-01-01 12:49:22.300,322.3,"{280324485: '2022-01-01 12:44:00', 307662889: '2022-01-01 12:44:26', 307662284: '2022-01-01 12:44:53', 309450366: '2022-01-01 12:45:20', 307662242: '2022-01-01 12:45:47', 306222128: '2022-01-01 12:46:14', 306222385: '2022-01-01 12:46:41', 306221900: '2022-01-01 12:47:08', 306225115: '2022-01-01 12:47:34', 306225011: '2022-01-01 12:48:01', 306221653: '2022-01-01 12:48:28', 306225000: '2022-01-01 12:48:55', 306221765: '2022-01-01 12:49:22'}",2656.125437694355,4,1,5.690144652963043
13,13,306221653,309450344,1,21,50,2022-01-01 21:50:00,"[306221653, 306225011, 306225115, 306221900, 306222385, 306222128, 309450229, 1633571571, 309450340, 309450344]",2022-01-01 21:51:18.700,78.7,"{306221653: '2022-01-01 21:50:00', 306225011: '2022-01-01 21:50:08', 306225115: '2022-01-01 21:50:17', 306221900: '2022-01-01 21:50:26', 306222385: '2022-01-01 21:50:34', 306222128: '2022-01-01 21:50:43', 309450229: '2022-01-01 21:50:52', 1633571571: '2022-01-01 21:51:01', 309450340: '2022-01-01 21:51:09', 309450344: '2022-01-01 21:51:18'}",644.0098151011459,3,3,3.3802893059260857
14,14,307664257,309450340,1,8,27,2022-01-01 08:27:00,"[307664257, 290333443, 290333444, 304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 309450229, 1633571571, 309450340]",2022-01-01 08:31:45.700,285.7,"{307664257: '2022-01-01 08:27:00', 290333443: '2022-01-01 08:27:23', 290333444: '2022-01-01 08:27:47', 304525639: '2022-01-01 08:28:11', 307663269: '2022-01-01 08:28:35', 307662889: '2022-01-01 08:28:59', 307662284: '2022-01-01 08:29:22', 309450366: '2022-01-01 08:29:46', 307662242: '2022-01-01 08:30:10', 306222128: '2022-01-01 08:30:34', 309450229: '2022-01-01 08:30:58', 1633571571: '2022-01-01 08:31:21', 309450340: '2022-01-01 08:31:45'}",2357.3435477514467,2,1,5.690144652963043
15,15,307662199,306222385,1,4,33,2022-01-01 04:33:00,"[307662199, 307662198, 307661801, 307662284, 309450366, 307662242, 306222128, 306222385]",2022-01-01 04:34:00.200,60.2,"{307662199: '2022-01-01 04:33:00', 307662198: '2022-01-01 04:33:08', 307661801: '2022-01-01 04:33:17', 307662284: '2022-01-01 04:33:25', 309450366: '2022-01-01 04:33:34', 307662242: '2022-01-01 04:33:43', 306222128: '2022-01-01 04:33:51', 306222385: '2022-01-01 04:34:00'}",498.2740037162953,2,3,3.3802893059260857
16,16,306221671,307662284,1,20,13,2022-01-01 20:13:00,"[306221671, 306221807, 306221765, 306225000, 306224552, 306225009, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284]",2022-01-01 20:15:04.600,124.6,"{306221671: '2022-01-01 20:13:00', 306221807: '2022-01-01 20:13:09', 306221765: '2022-01-01 20:13:19', 306225000: '2022-01-01 20:13:28', 306224552: '2022-01-01 20:13:38', 306225009: '2022-01-01 20:13:47', 306225011: '2022-01-01 20:13:57', 306225115: '2022-01-01 20:14:07', 306221900: '2022-01-01 20:14:16', 306222385: '2022-01-01 20:14:26', 306222128: '2022-01-01 20:14:35', 307662242: '2022-01-01 20:14:45', 309450366: '2022-01-01 20:14:55', 307662284: '2022-01-01 20:15:04'}",1025.9379398727228,1,3,3.3802893059260857
17,17,307662284,309441562,1,9,51,2022-01-01 09:51:00,"[307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950, 309441547, 309441548, 309441562]",2022-01-01 09:53:17.000,137.0,"{307662284: '2022-01-01 09:51:00', 309450366: '2022-01-01 09:51:10', 307662242: '2022-01-01 09:51:21', 306222128: '2022-01-01 09:51:31', 306222385: '2022-01-01 09:51:42', 306221900: '2022-01-01 09:51:52', 306221960: '2022-01-01 09:52:03', 306222676: '2022-01-01 09:52:13', 306221941: '2022-01-01 09:52:24', 399384843: '2022-01-01 09:52:34', 306221950: '2022-01-01 09:52:45', 309441547: '2022-01-01 09:52:55', 309441548: '2022-01-01 09:53:06', 309441562: '2022-01-01 09:53:17'}",1132.9656409139723,2,1,5.690144652963043
18,18,309450366,309450229,1,18,18,2022-01-01 18:18:00,"[309450366, 307662242, 306222128, 309450229]",2022-01-01 18:18:18.500,18.5,"{309450366: '2022-01-01 18:18:00', 307662242: '2022-01-01 18:18:06', 306222128: '2022-01-01 18:18:12', 309450229: '2022-01-01 18:18:18'}",152.21165367862855,4,3,3.3802893059260857
19,19,280324476,308304289,1,11,0,2022-01-01 11:00:00,"[280324476, 280324485, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306221653, 306225000, 306221765, 306221807, 306221802, 306221804, 308304289]",2022-01-01 11:06:44.900,404.9,"{280324476: '2022-01-01 11:00:00', 280324485: '2022-01-01 11:00:23', 307662889: '2022-01-01 11:00:47', 307662284: '2022-01-01 11:01:11', 309450366: '2022-01-01 11:01:35', 307662242: '2022-01-01 11:01:59', 306222128: '2022-01-01 11:02:22', 306222385: '2022-01-01 11:02:46', 306221900: '2022-01-01 11:03:10', 306225115: '2022-01-01 11:03:34', 306225011: '2022-01-01 11:03:58', 306221653: '2022-01-01 11:04:21', 306225000: '2022-01-01 11:04:45', 306221765: '2022-01-01 11:05:09', 306221807: '2022-01-01 11:05:33', 306221802: '2022-01-01 11:05:57', 306221804: '2022-01-01 11:06:21', 308304289: '2022-01-01 11:06:44'}",3295.2001460575634,1,2,4.450723264815215
20,20,309450344,290333444,1,21,24,2022-01-01 21:24:00,"[309450344, 309450340, 1633571571, 309450229, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 304525639, 290333444]",2022-01-01 21:28:47.500,287.5,"{309450344: '2022-01-01 21:24:00', 309450340: '2022-01-01 21:24:26', 1633571571: '2022-01-01 21:24:52', 309450229: '2022-01-01 21:25:18', 306222128: '2022-01-01 21:25:44', 307662242: '2022-01-01 21:26:10', 309450366: '2022-01-01 21:26:36', 307662284: '2022-01-01 21:27:02', 307662889: '2022-01-01 21:27:29', 307663269: '2022-01-01 21:27:55', 304525639: '2022-01-01 21:28:21', 290333444: '2022-01-01 21:28:47'}",2372.086064539296,3,2,4.450723264815215
21,21,308304289,297675884,1,3,7,2022-01-01 03:07:00,"[308304289, 306221804, 306221802, 306221807, 306221765, 306225000, 306221653, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 297675884]",2022-01-01 03:13:04.800,364.8,"{308304289: '2022-01-01 03:07:00', 306221804: '2022-01-01 03:07:21', 306221802: '2022-01-01 03:07:42', 306221807: '2022-01-01 03:08:04', 306221765: '2022-01-01 03:08:25', 306225000: '2022-01-01 03:08:47', 306221653: '2022-01-01 03:09:08', 306225011: '2022-01-01 03:09:30', 306225115: '2022-01-01 03:09:51', 306221900: '2022-01-01 03:10:13', 306222385: '2022-01-01 03:10:34', 306222128: '2022-01-01 03:10:56', 307662242: '2022-01-01 03:11:17', 309450366: '2022-01-01 03:11:38', 307662284: '2022-01-01 03:12:00', 307662889: '2022-01-01 03:12:21', 307663269: '2022-01-01 03:12:43', 297675884: '2022-01-01 03:13:04'}",3012.3117665016434,4,1,5.690144652963043
22,22,306222128,306225115,1,1,54,2022-01-01 01:54:00,"[306222128, 306222385, 306221900, 306225115]",2022-01-01 01:54:31.100,31.1,"{306222128: '2022-01-01 01:54:00', 306222385: '2022-01-01 01:54:10', 306221900: '2022-01-01 01:54:20', 306225115: '2022-01-01 01:54:31'}",255.3690442610502,2,1,5.690144652963043
23,23,304525639,306221765,1,8,16,2022-01-01 08:16:00,"[304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306221653, 306225000, 306221765]",2022-01-01 08:21:08.900,308.9,"{304525639: '2022-01-01 08:16:00', 307663269: '2022-01-01 08:16:23', 307662889: '2022-01-01 08:16:47', 307662284: '2022-01-01 08:17:11', 309450366: '2022-01-01 08:17:35', 307662242: '2022-01-01 08:17:58', 306222128: '2022-01-01 08:18:22', 306222385: '2022-01-01 08:18:46', 306221900: '2022-01-01 08:19:10', 306225115: '2022-01-01 08:19:33', 306225011: '2022-01-01 08:19:57', 306221653: '2022-01-01 08:20:21', 306225000: '2022-01-01 08:20:45', 306221765: '2022-01-01 08:21:08'}",2542.68466759748,4,3,3.3802893059260857
24,24,7756059836,399384843,1,19,0,2022-01-01 19:00:00,"[7756059836, 7756059845, 307662149, 307661801, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843]",2022-01-01 19:01:31.500,91.5,"{7756059836: '2022-01-01 19:00:00', 7756059845: '2022-01-01 19:00:07', 307662149: '2022-01-01 19:00:14', 307661801: '2022-01-01 19:00:21', 307662284: '2022-01-01 19:00:28', 309450366: '2022-01-01 19:00:35', 307662242: '2022-01-01 19:00:42', 306222128: '2022-01-01 19:00:49', 306222385: '2022-01-01 19:00:56', 306221900: '2022-01-01 19:01:03', 306221960: '2022-01-01 19:01:10', 306222676: '2022-01-01 19:01:17', 306221941: '2022-01-01 19:01:24', 399384843: '2022-01-01 19:01:31'}",754.6450933364429,1,1,5.690144652963043
25,25,306221960,306221900,1,18,56,2022-01-01 18:56:00,"[306221960, 306221900]",2022-01-01 18:56:00.500,0.5,"{306221960: '2022-01-01 18:56:00', 306221900: '2022-01-01 18:56:00'}",4.425727925968149,4,3,3.3802893059260857
26,26,290333444,1479963453,1,10,15,2022-01-01 10:15:00,"[290333444, 304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950, 309441547, 309441548, 309441562, 1479963453]",2022-01-01 10:22:11.400,431.4,"{290333444: '2022-01-01 10:15:00', 304525639: '2022-01-01 10:15:23', 307663269: '2022-01-01 10:15:47', 307662889: '2022-01-01 10:16:11', 307662284: '2022-01-01 10:16:35', 309450366: '2022-01-01 10:16:59', 307662242: '2022-01-01 10:17:23', 306222128: '2022-01-01 10:17:47', 306222385: '2022-01-01 10:18:11', 306221900: '2022-01-01 10:18:35', 306221960: '2022-01-01 10:18:59', 306222676: '2022-01-01 10:19:23', 306221941: '2022-01-01 10:19:47', 399384843: '2022-01-01 10:20:11', 306221950: '2022-01-01 10:20:35', 309441547: '2022-01-01 10:20:59', 309441548: '2022-01-01 10:21:23', 309441562: '2022-01-01 10:21:47', 1479963453: '2022-01-01 10:22:11'}",3560.8166965535006,2,3,3.3802893059260857
27,27,290333444,306222676,1,23,25,2022-01-01 23:25:00,"[290333444, 304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676]",2022-01-01 23:29:37.200,277.2,"{290333444: '2022-01-01 23:25:00', 304525639: '2022-01-01 23:25:25', 307663269: '2022-01-01 23:25:50', 307662889: '2022-01-01 23:26:15', 307662284: '2022-01-01 23:26:40', 309450366: '2022-01-01 23:27:06', 307662242: '2022-01-01 23:27:31', 306222128: '2022-01-01 23:27:56', 306222385: '2022-01-01 23:28:21', 306221900: '2022-01-01 23:28:46', 306221960: '2022-01-01 23:29:12', 306222676: '2022-01-01 23:29:37'}",2286.2295376375846,2,3,3.3802893059260857
28,28,354863308,306219024,1,0,53,2022-01-01 00:53:00,"[354863308, 1633571571, 309450229, 306226719, 306222462, 306218723, 306219024]",2022-01-01 00:57:19.900,259.9,"{354863308: '2022-01-01 00:53:00', 1633571571: '2022-01-01 00:53:43', 309450229: '2022-01-01 00:54:26', 306226719: '2022-01-01 00:55:09', 306222462: '2022-01-01 00:55:53', 306218723: '2022-01-01 00:56:36', 306219024: '2022-01-01 00:57:19'}",2099.499078518424,2,3,3.3802893059260857
29,29,307662889,309441547,1,4,46,2022-01-01 04:46:00,"[307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950, 309441547]",2022-01-01 04:50:01.200,241.2,"{307662889: '2022-01-01 04:46:00', 307662284: '2022-01-01 04:46:20', 309450366: '2022-01-01 04:46:40', 307662242: '2022-01-01 04:47:00', 306222128: '2022-01-01 04:47:20', 306222385: '2022-01-01 04:47:40', 306221900: '2022-01-01 04:48:00', 306221960: '2022-01-01 04:48:20', 306222676: '2022-01-01 04:48:40', 306221941: '2022-01-01 04:49:00', 399384843: '2022-01-01 04:49:21', 306221950: '2022-01-01 04:49:41', 309441547: '2022-01-01 04:50:01'}",1994.6967854909528,2,1,5.690144652963043
30,30,309450344,309450340,1,20,58,2022-01-01 20:58:00,"[309450344, 309450340]",2022-01-01 20:58:09.500,9.5,"{309450344: '2022-01-01 20:58:00', 309450340: '2022-01-01 20:58:09'}",79.2562549016653,1,3,3.3802893059260857
31,31,309441548,307662242,1,19,49,2022-01-01 19:49:00,"[309441548, 309441562, 309441547, 306221950, 399384843, 306221941, 306222676, 306221960, 306221900, 306222385, 306222128, 307662242]",2022-01-01 19:50:56.700,116.7,"{309441548: '2022-01-01 19:49:00', 309441562: '2022-01-01 19:49:10', 309441547: '2022-01-01 19:49:21', 306221950: '2022-01-01 19:49:31', 399384843: '2022-01-01 19:49:42', 306221941: '2022-01-01 19:49:53', 306222676: '2022-01-01 19:50:03', 306221960: '2022-01-01 19:50:14', 306221900: '2022-01-01 19:50:24', 306222385: '2022-01-01 19:50:35', 306222128: '2022-01-01 19:50:46', 307662242: '2022-01-01 19:50:56'}",963.1138503443774,1,1,5.690144652963043
32,32,307662198,291556214,1,19,19,2022-01-01 19:19:00,"[307662198, 307661801, 307662284, 307662889, 307663269, 297675884, 291556214]",2022-01-01 19:23:33.200,273.2,"{307662198: '2022-01-01 19:19:00', 307661801: '2022-01-01 19:19:45', 307662284: '2022-01-01 19:20:31', 307662889: '2022-01-01 19:21:16', 307663269: '2022-01-01 19:22:02', 297675884: '2022-01-01 19:22:47', 291556214: '2022-01-01 19:23:33'}",2254.8970512457026,4,1,5.690144652963043
33,33,7756059845,280324476,1,2,38,2022-01-01 02:38:00,"[7756059845, 307662149, 307661801, 307662284, 307662889, 280324485, 280324476]",2022-01-01 02:42:32.400,272.4,"{7756059845: '2022-01-01 02:38:00', 307662149: '2022-01-01 02:38:45', 307661801: '2022-01-01 02:39:30', 307662284: '2022-01-01 02:40:16', 307662889: '2022-01-01 02:41:01', 280324485: '2022-01-01 02:41:47', 280324476: '2022-01-01 02:42:32'}",2204.7867580559414,1,1,5.690144652963043
34,34,306222385,307664257,1,1,41,2022-01-01 01:41:00,"[306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 304525639, 290333444, 290333443, 307664257]",2022-01-01 01:45:39.300,279.3,"{306222385: '2022-01-01 01:41:00', 306222128: '2022-01-01 01:41:27', 307662242: '2022-01-01 01:41:55', 309450366: '2022-01-01 01:42:23', 307662284: '2022-01-01 01:42:51', 307662889: '2022-01-01 01:43:19', 307663269: '2022-01-01 01:43:47', 304525639: '2022-01-01 01:44:15', 290333444: '2022-01-01 01:44:43', 290333443: '2022-01-01 01:45:11', 307664257: '2022-01-01 01:45:39'}",2303.777241719253,2,2,4.450723264815215
35,35,307662199,308304288,1,13,4,2022-01-01 13:04:00,"[307662199, 307662198, 307661801, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306221653, 306225000, 306221765, 306221807, 306221802, 306221804, 308304289, 308304288]",2022-01-01 13:06:57.500,177.5,"{307662199: '2022-01-01 13:04:00', 307662198: '2022-01-01 13:04:09', 307661801: '2022-01-01 13:04:19', 307662284: '2022-01-01 13:04:29', 309450366: '2022-01-01 13:04:39', 307662242: '2022-01-01 13:04:49', 306222128: '2022-01-01 13:04:59', 306222385: '2022-01-01 13:05:09', 306221900: '2022-01-01 13:05:18', 306225115: '2022-01-01 13:05:28', 306225011: '2022-01-01 13:05:38', 306221653: '2022-01-01 13:05:48', 306225000: '2022-01-01 13:05:58', 306221765: '2022-01-01 13:06:08', 306221807: '2022-01-01 13:06:18', 306221802: '2022-01-01 13:06:27', 306221804: '2022-01-01 13:06:37', 308304289: '2022-01-01 13:06:47', 308304288: '2022-01-01 13:06:57'}",1462.4035189039823,3,2,4.450723264815215
36,36,354863048,306221950,1,14,42,2022-01-01 14:42:00,"[354863048, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950]",2022-01-01 14:43:28.000,88.0,"{354863048: '2022-01-01 14:42:00', 309450366: '2022-01-01 14:42:08', 307662242: '2022-01-01 14:42:17', 306222128: '2022-01-01 14:42:26', 306222385: '2022-01-01 14:42:35', 306221900: '2022-01-01 14:42:44', 306221960: '2022-01-01 14:42:52', 306222676: '2022-01-01 14:43:01', 306221941: '2022-01-01 14:43:10', 399384843: '2022-01-01 14:43:19', 306221950: '2022-01-01 14:43:28'}",725.046356635045,4,1,5.690144652963043
37,37,307663269,306222383,1,13,30,2022-01-01 13:30:00,"[307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306222383]",2022-01-01 13:34:09.400,249.4,"{307663269: '2022-01-01 13:30:00', 307662889: '2022-01-01 13:30:35', 307662284: '2022-01-01 13:31:11', 309450366: '2022-01-01 13:31:46', 307662242: '2022-01-01 13:32:22', 306222128: '2022-01-01 13:32:58', 306222385: '2022-01-01 13:33:33', 306222383: '2022-01-01 13:34:09'}",2059.1258049092044,3,2,4.450723264815215
38,38,399384843,304525639,1,12,23,2022-01-01 12:23:00,"[399384843, 306221941, 306222676, 306221960, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 304525639]",2022-01-01 12:27:28.000,268.0,"{399384843: '2022-01-01 12:23:00', 306221941: '2022-01-01 12:23:22', 306222676: '2022-01-01 12:23:44', 306221960: '2022-01-01 12:24:06', 306221900: '2022-01-01 12:24:29', 306222385: '2022-01-01 12:24:51', 306222128: '2022-01-01 12:25:13', 307662242: '2022-01-01 12:25:36', 309450366: '2022-01-01 12:25:58', 307662284: '2022-01-01 12:26:20', 307662889: '2022-01-01 12:26:43', 307663269: '2022-01-01 12:27:05', 304525639: '2022-01-01 12:27:28'}",2212.407826299025,2,2,4.450723264815215
39,39,307662242,307664257,1,1,11,2022-01-01 01:11:00,"[307662242, 309450366, 307662284, 307662889, 307663269, 304525639, 290333444, 290333443, 307664257]",2022-01-01 01:15:16.200,256.2,"{307662242: '2022-01-01 01:11:00', 309450366: '2022-01-01 01:11:32', 307662284: '2022-01-01 01:12:04', 307662889: '2022-01-01 01:12:36', 307663269: '2022-01-01 01:13:08', 304525639: '2022-01-01 01:13:40', 290333444: '2022-01-01 01:14:12', 290333443: '2022-01-01 01:14:44', 307664257: '2022-01-01 01:15:16'}",2113.631110646723,3,1,5.690144652963043
40,40,308304289,306221804,1,7,2,2022-01-01 07:02:00,"[308304289, 306221804]",2022-01-01 07:02:27.900,27.9,"{308304289: '2022-01-01 07:02:00', 306221804: '2022-01-01 07:02:27'}",231.85058297558405,4,1,5.690144652963043
41,41,280430536,399384843,1,9,41,2022-01-01 09:41:00,"[280430536, 307661801, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843]",2022-01-01 09:42:34.900,94.9,"{280430536: '2022-01-01 09:41:00', 307661801: '2022-01-01 09:41:08', 307662284: '2022-01-01 09:41:17', 309450366: '2022-01-01 09:41:25', 307662242: '2022-01-01 09:41:34', 306222128: '2022-01-01 09:41:43', 306222385: '2022-01-01 09:41:51', 306221900: '2022-01-01 09:42:00', 306221960: '2022-01-01 09:42:09', 306222676: '2022-01-01 09:42:17', 306221941: '2022-01-01 09:42:26', 399384843: '2022-01-01 09:42:34'}",786.0194701054646,1,3,3.3802893059260857
42,42,306221765,306224552,1,9,47,2022-01-01 09:47:00,"[306221765, 306225000, 306224552]",2022-01-01 09:47:03.700,3.7,"{306221765: '2022-01-01 09:47:00', 306225000: '2022-01-01 09:47:01', 306224552: '2022-01-01 09:47:03'}",31.096971302526995,2,2,4.450723264815215
