,tripid,pickup_node,dropoff_node,pickup_day,pickup_hour,pickup_minute,pickup_datetime,route,dropoff_datetime,trip_duration,node_timestamps
10,10,354863048,306221765,1,4,25,2022-01-01 04:25:00,"[354863048, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306221653, 306225000, 306221765]",2022-01-01 04:26:49.000,109.0,"{354863048: '2022-01-01 04:25:00', 309450366: '2022-01-01 04:25:10', 307662242: '2022-01-01 04:25:21', 306222128: '2022-01-01 04:25:32', 306222385: '2022-01-01 04:25:43', 306221900: '2022-01-01 04:25:54', 306225115: '2022-01-01 04:26:05', 306225011: '2022-01-01 04:26:16', 306221653: '2022-01-01 04:26:27', 306225000: '2022-01-01 04:26:38', 306221765: '2022-01-01 04:26:49'}"
11,11,309450229,7756059836,1,14,12,2022-01-01 14:12:00,"[309450229, 306222128, 307662242, 309450366, 307662284, 307661801, 307662149, 7756059845, 7756059836]",2022-01-01 14:12:59.500,59.5,"{309450229: '2022-01-01 14:12:00', 306222128: '2022-01-01 14:12:07', 307662242: '2022-01-01 14:12:14', 309450366: '2022-01-01 14:12:22', 307662284: '2022-01-01 14:12:29', 307661801: '2022-01-01 14:12:37', 307662149: '2022-01-01 14:12:44', 7756059845: '2022-01-01 14:12:52', 7756059836: '2022-01-01 14:12:59'}"
12,12,306225115,306221941,1,8,24,2022-01-01 08:24:00,"[306225115, 306222676, 306221941]",2022-01-01 08:24:20.000,20.0,"{306225115: '2022-01-01 08:24:00', 306222676: '2022-01-01 08:24:10', 306221941: '2022-01-01 08:24:20'}"
13,13,306222128,306221807,1,3,52,2022-01-01 03:52:00,"[306222128, 306222385, 306221900, 306225115, 306225011, 306225009, 306224552, 306225000, 306221765, 306221807]",2022-01-01 03:53:24.000,84.0,"{306222128: '2022-01-01 03:52:00', 306222385: '2022-01-01 03:52:09', 306221900: '2022-01-01 03:52:18', 306225115: '2022-01-01 03:52:27', 306225011: '2022-01-01 03:52:37', 306225009: '2022-01-01 03:52:46', 306224552: '2022-01-01 03:52:55', 306225000: '2022-01-01 03:53:05', 306221765: '2022-01-01 03:53:14', 306221807: '2022-01-01 03:53:24'}"
14,14,7756059845,280324476,1,2,54,2022-01-01 02:54:00,"[7756059845, 307662149, 307661801, 307662284, 307662889, 280324485, 280324476]",2022-01-01 02:58:32.400,272.4,"{7756059845: '2022-01-01 02:54:00', 307662149: '2022-01-01 02:54:45', 307661801: '2022-01-01 02:55:30', 307662284: '2022-01-01 02:56:16', 307662889: '2022-01-01 02:57:01', 280324485: '2022-01-01 02:57:47', 280324476: '2022-01-01 02:58:32'}"
15,15,304525639,307662198,1,14,29,2022-01-01 14:29:00,"[304525639, 307663269, 307662889, 307662284, 307661801, 307662198]",2022-01-01 14:32:38.600,218.6,"{304525639: '2022-01-01 14:29:00', 307663269: '2022-01-01 14:29:43', 307662889: '2022-01-01 14:30:27', 307662284: '2022-01-01 14:31:11', 307661801: '2022-01-01 14:31:54', 307662198: '2022-01-01 14:32:38'}"
16,16,280324491,307662242,1,6,21,2022-01-01 06:21:00,"[280324491, 280324485, 307662889, 307662284, 309450366, 307662242]",2022-01-01 06:25:14.900,254.9,"{280324491: '2022-01-01 06:21:00', 280324485: '2022-01-01 06:21:50', 307662889: '2022-01-01 06:22:41', 307662284: '2022-01-01 06:23:32', 309450366: '2022-01-01 06:24:23', 307662242: '2022-01-01 06:25:14'}"
17,17,306226719,309450229,1,17,29,2022-01-01 17:29:00,"[306226719, 309450229]",2022-01-01 17:29:11.700,11.7,"{306226719: '2022-01-01 17:29:00', 309450229: '2022-01-01 17:29:11'}"
18,18,307661801,307663269,1,15,3,2022-01-01 15:03:00,"[307661801, 307662284, 307662889, 307663269]",2022-01-01 15:06:24.900,204.9,"{307661801: '2022-01-01 15:03:00', 307662284: '2022-01-01 15:04:08', 307662889: '2022-01-01 15:05:16', 307663269: '2022-01-01 15:06:24'}"
19,19,7756059875,399384843,1,3,29,2022-01-01 03:29:00,"[7756059875, 307662149, 307661801, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843]",2022-01-01 03:30:46.500,106.5,"{7756059875: '2022-01-01 03:29:00', 307662149: '2022-01-01 03:29:08', 307661801: '2022-01-01 03:29:17', 307662284: '2022-01-01 03:29:26', 309450366: '2022-01-01 03:29:35', 307662242: '2022-01-01 03:29:44', 306222128: '2022-01-01 03:29:53', 306222385: '2022-01-01 03:30:02', 306221900: '2022-01-01 03:30:11', 306221960: '2022-01-01 03:30:19', 306222676: '2022-01-01 03:30:28', 306221941: '2022-01-01 03:30:37', 399384843: '2022-01-01 03:30:46'}"
20,20,2586413037,306222462,1,15,19,2022-01-01 15:19:00,"[2586413037, 306221941, 306222676, 306225115, 306225011, 306225009, 306224552, 306222462]",2022-01-01 15:20:48.900,108.9,"{2586413037: '2022-01-01 15:19:00', 306221941: '2022-01-01 15:19:15', 306222676: '2022-01-01 15:19:31', 306225115: '2022-01-01 15:19:46', 306225011: '2022-01-01 15:20:02', 306225009: '2022-01-01 15:20:17', 306224552: '2022-01-01 15:20:33', 306222462: '2022-01-01 15:20:48'}"
21,21,280324485,309441562,1,9,38,2022-01-01 09:38:00,"[280324485, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950, 309441547, 309441548, 309441562]",2022-01-01 09:43:55.500,355.5,"{280324485: '2022-01-01 09:38:00', 307662889: '2022-01-01 09:38:23', 307662284: '2022-01-01 09:38:47', 309450366: '2022-01-01 09:39:11', 307662242: '2022-01-01 09:39:34', 306222128: '2022-01-01 09:39:58', 306222385: '2022-01-01 09:40:22', 306221900: '2022-01-01 09:40:45', 306221960: '2022-01-01 09:41:09', 306222676: '2022-01-01 09:41:33', 306221941: '2022-01-01 09:41:57', 399384843: '2022-01-01 09:42:20', 306221950: '2022-01-01 09:42:44', 309441547: '2022-01-01 09:43:08', 309441548: '2022-01-01 09:43:31', 309441562: '2022-01-01 09:43:55'}"
22,22,290333443,306221807,1,6,15,2022-01-01 06:15:00,"[290333443, 290333444, 304525639, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306225009, 306224552, 306225000, 306221765, 306221807]",2022-01-01 06:20:44.800,344.8,"{290333443: '2022-01-01 06:15:00', 290333444: '2022-01-01 06:15:20', 304525639: '2022-01-01 06:15:40', 307663269: '2022-01-01 06:16:00', 307662889: '2022-01-01 06:16:21', 307662284: '2022-01-01 06:16:41', 309450366: '2022-01-01 06:17:01', 307662242: '2022-01-01 06:17:21', 306222128: '2022-01-01 06:17:42', 306222385: '2022-01-01 06:18:02', 306221900: '2022-01-01 06:18:22', 306225115: '2022-01-01 06:18:43', 306225011: '2022-01-01 06:19:03', 306225009: '2022-01-01 06:19:23', 306224552: '2022-01-01 06:19:43', 306225000: '2022-01-01 06:20:04', 306221765: '2022-01-01 06:20:24', 306221807: '2022-01-01 06:20:44'}"
23,23,307662889,297675884,1,22,7,2022-01-01 22:07:00,"[307662889, 307663269, 297675884]",2022-01-01 22:08:35.900,95.9,"{307662889: '2022-01-01 22:07:00', 307663269: '2022-01-01 22:07:47', 297675884: '2022-01-01 22:08:35'}"
24,24,306221950,309441548,1,10,26,2022-01-01 10:26:00,"[306221950, 309441547, 309441548]",2022-01-01 10:26:52.300,52.3,"{306221950: '2022-01-01 10:26:00', 309441547: '2022-01-01 10:26:26', 309441548: '2022-01-01 10:26:52'}"
25,25,307662242,3023405356,1,14,44,2022-01-01 14:44:00,"[307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306221653, 306225000, 306221765, 306221807, 306221802, 3023405356]",2022-01-01 14:45:50.800,110.8,"{307662242: '2022-01-01 14:44:00', 306222128: '2022-01-01 14:44:10', 306222385: '2022-01-01 14:44:20', 306221900: '2022-01-01 14:44:30', 306225115: '2022-01-01 14:44:40', 306225011: '2022-01-01 14:44:50', 306221653: '2022-01-01 14:45:00', 306225000: '2022-01-01 14:45:10', 306221765: '2022-01-01 14:45:20', 306221807: '2022-01-01 14:45:30', 306221802: '2022-01-01 14:45:40', 3023405356: '2022-01-01 14:45:50'}"
26,26,309441562,290333444,1,23,4,2022-01-01 23:04:00,"[309441562, 309441547, 306221950, 399384843, 306221941, 306222676, 306221960, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 304525639, 290333444]",2022-01-01 23:10:03.300,363.3,"{309441562: '2022-01-01 23:04:00', 309441547: '2022-01-01 23:04:22', 306221950: '2022-01-01 23:04:45', 399384843: '2022-01-01 23:05:08', 306221941: '2022-01-01 23:05:30', 306222676: '2022-01-01 23:05:53', 306221960: '2022-01-01 23:06:16', 306221900: '2022-01-01 23:06:38', 306222385: '2022-01-01 23:07:01', 306222128: '2022-01-01 23:07:24', 307662242: '2022-01-01 23:07:47', 309450366: '2022-01-01 23:08:09', 307662284: '2022-01-01 23:08:32', 307662889: '2022-01-01 23:08:55', 307663269: '2022-01-01 23:09:17', 304525639: '2022-01-01 23:09:40', 290333444: '2022-01-01 23:10:03'}"
27,27,309441562,306222462,1,1,34,2022-01-01 01:34:00,"[309441562, 309441547, 306221950, 3023405356, 306221802, 306221807, 306221765, 306225000, 306224552, 306222462]",2022-01-01 01:36:46.100,166.1,"{309441562: '2022-01-01 01:34:00', 309441547: '2022-01-01 01:34:18', 306221950: '2022-01-01 01:34:36', 3023405356: '2022-01-01 01:34:55', 306221802: '2022-01-01 01:35:13', 306221807: '2022-01-01 01:35:32', 306221765: '2022-01-01 01:35:50', 306225000: '2022-01-01 01:36:09', 306224552: '2022-01-01 01:36:27', 306222462: '2022-01-01 01:36:46'}"
28,28,3023405360,306221671,1,16,24,2022-01-01 16:24:00,"[3023405360, 306221765, 306221807, 306221671]",2022-01-01 16:24:32.100,32.1,"{3023405360: '2022-01-01 16:24:00', 306221765: '2022-01-01 16:24:10', 306221807: '2022-01-01 16:24:21', 306221671: '2022-01-01 16:24:32'}"
29,29,306224552,290333400,1,5,28,2022-01-01 05:28:00,"[306224552, 306225009, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 304525639, 290333444, 290333400]",2022-01-01 05:33:31.300,331.3,"{306224552: '2022-01-01 05:28:00', 306225009: '2022-01-01 05:28:23', 306225011: '2022-01-01 05:28:47', 306225115: '2022-01-01 05:29:10', 306221900: '2022-01-01 05:29:34', 306222385: '2022-01-01 05:29:58', 306222128: '2022-01-01 05:30:21', 307662242: '2022-01-01 05:30:45', 309450366: '2022-01-01 05:31:09', 307662284: '2022-01-01 05:31:32', 307662889: '2022-01-01 05:31:56', 307663269: '2022-01-01 05:32:20', 304525639: '2022-01-01 05:32:43', 290333444: '2022-01-01 05:33:07', 290333400: '2022-01-01 05:33:31'}"
30,30,306221807,3023405360,1,14,48,2022-01-01 14:48:00,"[306221807, 306221765, 3023405360]",2022-01-01 14:48:21.800,21.8,"{306221807: '2022-01-01 14:48:00', 306221765: '2022-01-01 14:48:10', 3023405360: '2022-01-01 14:48:21'}"
31,31,309441548,306221950,1,15,16,2022-01-01 15:16:00,"[309441548, 309441562, 309441547, 306221950]",2022-01-01 15:16:54.800,54.8,"{309441548: '2022-01-01 15:16:00', 309441562: '2022-01-01 15:16:18', 309441547: '2022-01-01 15:16:36', 306221950: '2022-01-01 15:16:54'}"
32,32,297675884,2586413037,1,2,33,2022-01-01 02:33:00,"[297675884, 307663269, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 2586413037]",2022-01-01 02:37:40.100,280.1,"{297675884: '2022-01-01 02:33:00', 307663269: '2022-01-01 02:33:23', 307662889: '2022-01-01 02:33:46', 307662284: '2022-01-01 02:34:10', 309450366: '2022-01-01 02:34:33', 307662242: '2022-01-01 02:34:56', 306222128: '2022-01-01 02:35:20', 306222385: '2022-01-01 02:35:43', 306221900: '2022-01-01 02:36:06', 306221960: '2022-01-01 02:36:30', 306222676: '2022-01-01 02:36:53', 306221941: '2022-01-01 02:37:16', 2586413037: '2022-01-01 02:37:40'}"
33,33,309441562,7756059845,1,11,7,2022-01-01 11:07:00,"[309441562, 309441547, 306221950, 399384843, 306221941, 306222676, 306221960, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307661801, 307662149, 7756059845]",2022-01-01 11:09:42.900,162.9,"{309441562: '2022-01-01 11:07:00', 309441547: '2022-01-01 11:07:10', 306221950: '2022-01-01 11:07:21', 399384843: '2022-01-01 11:07:32', 306221941: '2022-01-01 11:07:43', 306222676: '2022-01-01 11:07:54', 306221960: '2022-01-01 11:08:05', 306221900: '2022-01-01 11:08:16', 306222385: '2022-01-01 11:08:26', 306222128: '2022-01-01 11:08:37', 307662242: '2022-01-01 11:08:48', 309450366: '2022-01-01 11:08:59', 307662284: '2022-01-01 11:09:10', 307661801: '2022-01-01 11:09:21', 307662149: '2022-01-01 11:09:32', 7756059845: '2022-01-01 11:09:42'}"
34,34,3023405360,306221900,1,20,3,2022-01-01 20:03:00,"[3023405360, 306221765, 306225000, 306224552, 306225009, 306225011, 306225115, 306221900]",2022-01-01 20:04:07.300,67.3,"{3023405360: '2022-01-01 20:03:00', 306221765: '2022-01-01 20:03:09', 306225000: '2022-01-01 20:03:19', 306224552: '2022-01-01 20:03:28', 306225009: '2022-01-01 20:03:38', 306225011: '2022-01-01 20:03:48', 306225115: '2022-01-01 20:03:57', 306221900: '2022-01-01 20:04:07'}"
35,35,7756059834,307664334,1,12,37,2022-01-01 12:37:00,"[7756059834, 7756059836, 7756059845, 307662149, 307661801, 307662284, 307662889, 307663269, 304525639, 290333444, 290333443, 307664257, 307664242, 307664334]",2022-01-01 12:42:12.700,312.7,"{7756059834: '2022-01-01 12:37:00', 7756059836: '2022-01-01 12:37:24', 7756059845: '2022-01-01 12:37:48', 307662149: '2022-01-01 12:38:12', 307661801: '2022-01-01 12:38:36', 307662284: '2022-01-01 12:39:00', 307662889: '2022-01-01 12:39:24', 307663269: '2022-01-01 12:39:48', 304525639: '2022-01-01 12:40:12', 290333444: '2022-01-01 12:40:36', 290333443: '2022-01-01 12:41:00', 307664257: '2022-01-01 12:41:24', 307664242: '2022-01-01 12:41:48', 307664334: '2022-01-01 12:42:12'}"
36,36,307662889,280430536,1,2,28,2022-01-01 02:28:00,"[307662889, 307662284, 307661801, 280430536]",2022-01-01 02:30:21.200,141.2,"{307662889: '2022-01-01 02:28:00', 307662284: '2022-01-01 02:28:47', 307661801: '2022-01-01 02:29:34', 280430536: '2022-01-01 02:30:21'}"
37,37,290333444,307662284,1,4,28,2022-01-01 04:28:00,"[290333444, 304525639, 307663269, 307662889, 307662284]",2022-01-01 04:31:47.600,227.6,"{290333444: '2022-01-01 04:28:00', 304525639: '2022-01-01 04:28:56', 307663269: '2022-01-01 04:29:53', 307662889: '2022-01-01 04:30:50', 307662284: '2022-01-01 04:31:47'}"
38,38,307662284,290333444,1,15,48,2022-01-01 15:48:00,"[307662284, 307662889, 307663269, 304525639, 290333444]",2022-01-01 15:51:47.600,227.6,"{307662284: '2022-01-01 15:48:00', 307662889: '2022-01-01 15:48:56', 307663269: '2022-01-01 15:49:53', 304525639: '2022-01-01 15:50:50', 290333444: '2022-01-01 15:51:47'}"
39,39,306219024,308304289,1,22,57,2022-01-01 22:57:00,"[306219024, 306218723, 308304289]",2022-01-01 22:59:55.600,175.6,"{306219024: '2022-01-01 22:57:00', 306218723: '2022-01-01 22:58:27', 308304289: '2022-01-01 22:59:55'}"
40,40,306222128,7756059845,1,5,34,2022-01-01 05:34:00,"[306222128, 307662242, 309450366, 307662284, 307661801, 307662149, 7756059845]",2022-01-01 05:34:57.500,57.5,"{306222128: '2022-01-01 05:34:00', 307662242: '2022-01-01 05:34:09', 309450366: '2022-01-01 05:34:19', 307662284: '2022-01-01 05:34:28', 307661801: '2022-01-01 05:34:38', 307662149: '2022-01-01 05:34:47', 7756059845: '2022-01-01 05:34:57'}"
41,41,3023405360,307661801,1,15,1,2022-01-01 15:01:00,"[3023405360, 306221765, 306225000, 306224552, 306225009, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307661801]",2022-01-01 15:03:03.800,123.8,"{3023405360: '2022-01-01 15:01:00', 306221765: '2022-01-01 15:01:09', 306225000: '2022-01-01 15:01:19', 306224552: '2022-01-01 15:01:28', 306225009: '2022-01-01 15:01:38', 306225011: '2022-01-01 15:01:47', 306225115: '2022-01-01 15:01:57', 306221900: '2022-01-01 15:02:06', 306222385: '2022-01-01 15:02:16', 306222128: '2022-01-01 15:02:25', 307662242: '2022-01-01 15:02:35', 309450366: '2022-01-01 15:02:44', 307662284: '2022-01-01 15:02:54', 307661801: '2022-01-01 15:03:03'}"
42,42,306221941,306226719,1,21,31,2022-01-01 21:31:00,"[306221941, 306222676, 306221960, 306221900, 306222385, 306222128, 309450229, 306226719]",2022-01-01 21:31:37.300,37.3,"{306221941: '2022-01-01 21:31:00', 306222676: '2022-01-01 21:31:05', 306221960: '2022-01-01 21:31:10', 306221900: '2022-01-01 21:31:15', 306222385: '2022-01-01 21:31:21', 306222128: '2022-01-01 21:31:26', 309450229: '2022-01-01 21:31:31', 306226719: '2022-01-01 21:31:37'}"
43,43,306218723,308304289,1,20,59,2022-01-01 20:59:00,"[306218723, 308304289]",2022-01-01 21:00:22.300,82.3,"{306218723: '2022-01-01 20:59:00', 308304289: '2022-01-01 21:00:22'}"
44,44,307664257,309450366,1,14,5,2022-01-01 14:05:00,"[307664257, 290333443, 290333444, 304525639, 307663269, 307662889, 307662284, 309450366]",2022-01-01 14:09:07.700,247.7,"{307664257: '2022-01-01 14:05:00', 290333443: '2022-01-01 14:05:35', 290333444: '2022-01-01 14:06:10', 304525639: '2022-01-01 14:06:46', 307663269: '2022-01-01 14:07:21', 307662889: '2022-01-01 14:07:56', 307662284: '2022-01-01 14:08:32', 309450366: '2022-01-01 14:09:07'}"
45,45,7756059834,304525639,1,2,35,2022-01-01 02:35:00,"[7756059834, 7756059836, 7756059845, 307662149, 307661801, 307662284, 307662889, 307663269, 304525639]",2022-01-01 02:38:59.400,239.4,"{7756059834: '2022-01-01 02:35:00', 7756059836: '2022-01-01 02:35:29', 7756059845: '2022-01-01 02:35:59', 307662149: '2022-01-01 02:36:29', 307661801: '2022-01-01 02:36:59', 307662284: '2022-01-01 02:37:29', 307662889: '2022-01-01 02:37:59', 307663269: '2022-01-01 02:38:29', 304525639: '2022-01-01 02:38:59'}"
46,46,307662198,306221802,1,9,57,2022-01-01 09:57:00,"[307662198, 307661801, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306221653, 306225000, 306221765, 306221807, 306221802]",2022-01-01 09:59:20.900,140.9,"{307662198: '2022-01-01 09:57:00', 307661801: '2022-01-01 09:57:10', 307662284: '2022-01-01 09:57:20', 309450366: '2022-01-01 09:57:30', 307662242: '2022-01-01 09:57:40', 306222128: '2022-01-01 09:57:50', 306222385: '2022-01-01 09:58:00', 306221900: '2022-01-01 09:58:10', 306225115: '2022-01-01 09:58:20', 306225011: '2022-01-01 09:58:30', 306221653: '2022-01-01 09:58:40', 306225000: '2022-01-01 09:58:50', 306221765: '2022-01-01 09:59:00', 306221807: '2022-01-01 09:59:10', 306221802: '2022-01-01 09:59:20'}"
47,47,2586413037,306219024,1,10,8,2022-01-01 10:08:00,"[2586413037, 306221941, 306222676, 306225115, 306225011, 306225009, 306224552, 306222462, 306218723, 306219024]",2022-01-01 10:12:33.600,273.6,"{2586413037: '2022-01-01 10:08:00', 306221941: '2022-01-01 10:08:30', 306222676: '2022-01-01 10:09:00', 306225115: '2022-01-01 10:09:31', 306225011: '2022-01-01 10:10:01', 306225009: '2022-01-01 10:10:32', 306224552: '2022-01-01 10:11:02', 306222462: '2022-01-01 10:11:32', 306218723: '2022-01-01 10:12:03', 306219024: '2022-01-01 10:12:33'}"
48,48,307662198,280324476,1,15,50,2022-01-01 15:50:00,"[307662198, 307661801, 307662284, 307662889, 280324485, 280324476]",2022-01-01 15:54:18.700,258.7,"{307662198: '2022-01-01 15:50:00', 307661801: '2022-01-01 15:50:51', 307662284: '2022-01-01 15:51:43', 307662889: '2022-01-01 15:52:35', 280324485: '2022-01-01 15:53:26', 280324476: '2022-01-01 15:54:18'}"
49,49,306221941,307662198,1,12,34,2022-01-01 12:34:00,"[306221941, 306222676, 306221960, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307661801, 307662198]",2022-01-01 12:35:08.800,68.8,"{306221941: '2022-01-01 12:34:00', 306222676: '2022-01-01 12:34:06', 306221960: '2022-01-01 12:34:13', 306221900: '2022-01-01 12:34:20', 306222385: '2022-01-01 12:34:27', 306222128: '2022-01-01 12:34:34', 307662242: '2022-01-01 12:34:41', 309450366: '2022-01-01 12:34:48', 307662284: '2022-01-01 12:34:55', 307661801: '2022-01-01 12:35:01', 307662198: '2022-01-01 12:35:08'}"
50,50,7756059845,306221653,1,0,7,2022-01-01 00:07:00,"[7756059845, 307662149, 307661801, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306221653]",2022-01-01 00:08:46.600,106.6,"{7756059845: '2022-01-01 00:07:00', 307662149: '2022-01-01 00:07:09', 307661801: '2022-01-01 00:07:19', 307662284: '2022-01-01 00:07:29', 309450366: '2022-01-01 00:07:38', 307662242: '2022-01-01 00:07:48', 306222128: '2022-01-01 00:07:58', 306222385: '2022-01-01 00:08:07', 306221900: '2022-01-01 00:08:17', 306225115: '2022-01-01 00:08:27', 306225011: '2022-01-01 00:08:36', 306221653: '2022-01-01 00:08:46'}"
51,51,309450229,7756059845,1,7,40,2022-01-01 07:40:00,"[309450229, 306222128, 307662242, 309450366, 307662284, 307661801, 307662149, 7756059845]",2022-01-01 07:40:58.100,58.1,"{309450229: '2022-01-01 07:40:00', 306222128: '2022-01-01 07:40:08', 307662242: '2022-01-01 07:40:16', 309450366: '2022-01-01 07:40:24', 307662284: '2022-01-01 07:40:33', 307661801: '2022-01-01 07:40:41', 307662149: '2022-01-01 07:40:49', 7756059845: '2022-01-01 07:40:58'}"
