,Pickup Square,Dropoff Square,Pickup Time,Pickup Hour,Pickup Minute,Pickup Weekday,Pickup Coordinates,Dropoff Coordinates,Manhattan Distance,Paths,Path Timestamp
25,15,31,2021-01-02 09:48:00,21,48,6,"(5, 1)","(1, 3)",6,"[[5, 1], [4, 1], [3, 1], [2, 1], [1, 1], [1, 2], [1, 3]]","{(5, 1): '2021-01-02 09:48:00', (4, 1): '2021-01-02 09:49:00', (3, 1): '2021-01-02 09:50:00', (2, 1): '2021-01-02 09:51:00', (1, 1): '2021-01-02 09:52:00', (1, 2): '2021-01-02 09:53:00', (1, 3): '2021-01-02 09:54:00'}"
26,74,11,2021-01-02 05:01:00,17,1,1,"(4, 7)","(1, 1)",9,"[[4, 7], [3, 7], [2, 7], [1, 7], [1, 6], [1, 5], [1, 4], [1, 3], [1, 2], [1, 1]]","{(4, 7): '2021-01-02 05:01:00', (3, 7): '2021-01-02 05:02:00', (2, 7): '2021-01-02 05:03:00', (1, 7): '2021-01-02 05:04:00', (1, 6): '2021-01-02 05:05:00', (1, 5): '2021-01-02 05:06:00', (1, 4): '2021-01-02 05:07:00', (1, 3): '2021-01-02 05:08:00', (1, 2): '2021-01-02 05:09:00', (1, 1): '2021-01-02 05:10:00'}"
27,28,32,2021-01-01 15:55:00,3,55,6,"(8, 2)","(2, 3)",7,"[[8, 2], [7, 2], [6, 2], [5, 2], [4, 2], [3, 2], [2, 2], [2, 3]]","{(8, 2): '2021-01-01 15:55:00', (7, 2): '2021-01-01 15:56:00', (6, 2): '2021-01-01 15:57:00', (5, 2): '2021-01-01 15:58:00', (4, 2): '2021-01-01 15:59:00', (3, 2): '2021-01-01 16:00:00', (2, 2): '2021-01-01 16:01:00', (2, 3): '2021-01-01 16:02:00'}"
28,5,6,2021-01-01 19:05:00,7,5,3,"(5, 0)","(6, 0)",1,"[[5, 0], [6, 0]]","{(5, 0): '2021-01-01 19:05:00', (6, 0): '2021-01-01 19:06:00'}"
29,42,30,2021-01-02 06:09:00,18,9,2,"(2, 4)","(0, 3)",3,"[[2, 4], [1, 4], [0, 4], [0, 3]]","{(2, 4): '2021-01-02 06:09:00', (1, 4): '2021-01-02 06:10:00', (0, 4): '2021-01-02 06:11:00', (0, 3): '2021-01-02 06:12:00'}"
30,90,48,2021-01-02 07:08:00,19,8,1,"(0, 9)","(8, 4)",13,"[[0, 9], [1, 9], [2, 9], [3, 9], [4, 9], [5, 9], [6, 9], [7, 9], [8, 9], [8, 8], [8, 7], [8, 6], [8, 5], [8, 4]]","{(0, 9): '2021-01-02 07:08:00', (1, 9): '2021-01-02 07:09:00', (2, 9): '2021-01-02 07:10:00', (3, 9): '2021-01-02 07:11:00', (4, 9): '2021-01-02 07:12:00', (5, 9): '2021-01-02 07:13:00', (6, 9): '2021-01-02 07:14:00', (7, 9): '2021-01-02 07:15:00', (8, 9): '2021-01-02 07:16:00', (8, 8): '2021-01-02 07:17:00', (8, 7): '2021-01-02 07:18:00', (8, 6): '2021-01-02 07:19:00', (8, 5): '2021-01-02 07:20:00', (8, 4): '2021-01-02 07:21:00'}"
31,76,30,2021-01-02 05:37:00,17,37,6,"(6, 7)","(0, 3)",10,"[[6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [0, 7], [0, 6], [0, 5], [0, 4], [0, 3]]","{(6, 7): '2021-01-02 05:37:00', (5, 7): '2021-01-02 05:38:00', (4, 7): '2021-01-02 05:39:00', (3, 7): '2021-01-02 05:40:00', (2, 7): '2021-01-02 05:41:00', (1, 7): '2021-01-02 05:42:00', (0, 7): '2021-01-02 05:43:00', (0, 6): '2021-01-02 05:44:00', (0, 5): '2021-01-02 05:45:00', (0, 4): '2021-01-02 05:46:00', (0, 3): '2021-01-02 05:47:00'}"
32,54,23,2021-01-01 12:43:00,0,43,3,"(4, 5)","(3, 2)",4,"[[4, 5], [3, 5], [3, 4], [3, 3], [3, 2]]","{(4, 5): '2021-01-01 12:43:00', (3, 5): '2021-01-01 12:44:00', (3, 4): '2021-01-01 12:45:00', (3, 3): '2021-01-01 12:46:00', (3, 2): '2021-01-01 12:47:00'}"
33,99,63,2021-01-01 12:07:00,0,7,5,"(9, 9)","(3, 6)",9,"[[9, 9], [8, 9], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [3, 8], [3, 7], [3, 6]]","{(9, 9): '2021-01-01 12:07:00', (8, 9): '2021-01-01 12:08:00', (7, 9): '2021-01-01 12:09:00', (6, 9): '2021-01-01 12:10:00', (5, 9): '2021-01-01 12:11:00', (4, 9): '2021-01-01 12:12:00', (3, 9): '2021-01-01 12:13:00', (3, 8): '2021-01-01 12:14:00', (3, 7): '2021-01-01 12:15:00', (3, 6): '2021-01-01 12:16:00'}"
34,89,1,2021-01-02 10:33:00,22,33,2,"(9, 8)","(1, 0)",16,"[[9, 8], [8, 8], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [2, 8], [1, 8], [1, 7], [1, 6], [1, 5], [1, 4], [1, 3], [1, 2], [1, 1], [1, 0]]","{(9, 8): '2021-01-02 10:33:00', (8, 8): '2021-01-02 10:34:00', (7, 8): '2021-01-02 10:35:00', (6, 8): '2021-01-02 10:36:00', (5, 8): '2021-01-02 10:37:00', (4, 8): '2021-01-02 10:38:00', (3, 8): '2021-01-02 10:39:00', (2, 8): '2021-01-02 10:40:00', (1, 8): '2021-01-02 10:41:00', (1, 7): '2021-01-02 10:42:00', (1, 6): '2021-01-02 10:43:00', (1, 5): '2021-01-02 10:44:00', (1, 4): '2021-01-02 10:45:00', (1, 3): '2021-01-02 10:46:00', (1, 2): '2021-01-02 10:47:00', (1, 1): '2021-01-02 10:48:00', (1, 0): '2021-01-02 10:49:00'}"
35,97,94,2021-01-02 01:02:00,13,2,6,"(7, 9)","(4, 9)",3,"[[7, 9], [6, 9], [5, 9], [4, 9]]","{(7, 9): '2021-01-02 01:02:00', (6, 9): '2021-01-02 01:03:00', (5, 9): '2021-01-02 01:04:00', (4, 9): '2021-01-02 01:05:00'}"
36,96,65,2021-01-01 20:05:00,8,5,1,"(6, 9)","(5, 6)",4,"[[6, 9], [5, 9], [5, 8], [5, 7], [5, 6]]","{(6, 9): '2021-01-01 20:05:00', (5, 9): '2021-01-01 20:06:00', (5, 8): '2021-01-01 20:07:00', (5, 7): '2021-01-01 20:08:00', (5, 6): '2021-01-01 20:09:00'}"
37,65,12,2021-01-01 18:48:00,6,48,0,"(5, 6)","(2, 1)",8,"[[5, 6], [4, 6], [3, 6], [2, 6], [2, 5], [2, 4], [2, 3], [2, 2], [2, 1]]","{(5, 6): '2021-01-01 18:48:00', (4, 6): '2021-01-01 18:49:00', (3, 6): '2021-01-01 18:50:00', (2, 6): '2021-01-01 18:51:00', (2, 5): '2021-01-01 18:52:00', (2, 4): '2021-01-01 18:53:00', (2, 3): '2021-01-01 18:54:00', (2, 2): '2021-01-01 18:55:00', (2, 1): '2021-01-01 18:56:00'}"
38,65,2,2021-01-01 21:32:00,9,32,2,"(5, 6)","(2, 0)",9,"[[5, 6], [4, 6], [3, 6], [2, 6], [2, 5], [2, 4], [2, 3], [2, 2], [2, 1], [2, 0]]","{(5, 6): '2021-01-01 21:32:00', (4, 6): '2021-01-01 21:33:00', (3, 6): '2021-01-01 21:34:00', (2, 6): '2021-01-01 21:35:00', (2, 5): '2021-01-01 21:36:00', (2, 4): '2021-01-01 21:37:00', (2, 3): '2021-01-01 21:38:00', (2, 2): '2021-01-01 21:39:00', (2, 1): '2021-01-01 21:40:00', (2, 0): '2021-01-01 21:41:00'}"
39,88,4,2021-01-02 09:42:00,21,42,5,"(8, 8)","(4, 0)",12,"[[8, 8], [7, 8], [6, 8], [5, 8], [4, 8], [4, 7], [4, 6], [4, 5], [4, 4], [4, 3], [4, 2], [4, 1], [4, 0]]","{(8, 8): '2021-01-02 09:42:00', (7, 8): '2021-01-02 09:43:00', (6, 8): '2021-01-02 09:44:00', (5, 8): '2021-01-02 09:45:00', (4, 8): '2021-01-02 09:46:00', (4, 7): '2021-01-02 09:47:00', (4, 6): '2021-01-02 09:48:00', (4, 5): '2021-01-02 09:49:00', (4, 4): '2021-01-02 09:50:00', (4, 3): '2021-01-02 09:51:00', (4, 2): '2021-01-02 09:52:00', (4, 1): '2021-01-02 09:53:00', (4, 0): '2021-01-02 09:54:00'}"
40,27,26,2021-01-02 08:31:00,20,31,0,"(7, 2)","(6, 2)",1,"[[7, 2], [6, 2]]","{(7, 2): '2021-01-02 08:31:00', (6, 2): '2021-01-02 08:32:00'}"
41,76,28,2021-01-01 13:01:00,1,1,4,"(6, 7)","(8, 2)",7,"[[6, 7], [7, 7], [8, 7], [8, 6], [8, 5], [8, 4], [8, 3], [8, 2]]","{(6, 7): '2021-01-01 13:01:00', (7, 7): '2021-01-01 13:02:00', (8, 7): '2021-01-01 13:03:00', (8, 6): '2021-01-01 13:04:00', (8, 5): '2021-01-01 13:05:00', (8, 4): '2021-01-01 13:06:00', (8, 3): '2021-01-01 13:07:00', (8, 2): '2021-01-01 13:08:00'}"
42,75,15,2021-01-02 03:11:00,15,11,3,"(5, 7)","(5, 1)",6,"[[5, 7], [5, 6], [5, 5], [5, 4], [5, 3], [5, 2], [5, 1]]","{(5, 7): '2021-01-02 03:11:00', (5, 6): '2021-01-02 03:12:00', (5, 5): '2021-01-02 03:13:00', (5, 4): '2021-01-02 03:14:00', (5, 3): '2021-01-02 03:15:00', (5, 2): '2021-01-02 03:16:00', (5, 1): '2021-01-02 03:17:00'}"
43,42,52,2021-01-02 07:41:00,19,41,1,"(2, 4)","(2, 5)",1,"[[2, 4], [2, 5]]","{(2, 4): '2021-01-02 07:41:00', (2, 5): '2021-01-02 07:42:00'}"
44,1,33,2021-01-01 12:53:00,0,53,4,"(1, 0)","(3, 3)",5,"[[1, 0], [2, 0], [3, 0], [3, 1], [3, 2], [3, 3]]","{(1, 0): '2021-01-01 12:53:00', (2, 0): '2021-01-01 12:54:00', (3, 0): '2021-01-01 12:55:00', (3, 1): '2021-01-01 12:56:00', (3, 2): '2021-01-01 12:57:00', (3, 3): '2021-01-01 12:58:00'}"
45,38,49,2021-01-02 08:08:00,20,8,4,"(8, 3)","(9, 4)",2,"[[8, 3], [9, 3], [9, 4]]","{(8, 3): '2021-01-02 08:08:00', (9, 3): '2021-01-02 08:09:00', (9, 4): '2021-01-02 08:10:00'}"
46,31,91,2021-01-01 15:43:00,3,43,4,"(1, 3)","(1, 9)",6,"[[1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9]]","{(1, 3): '2021-01-01 15:43:00', (1, 4): '2021-01-01 15:44:00', (1, 5): '2021-01-01 15:45:00', (1, 6): '2021-01-01 15:46:00', (1, 7): '2021-01-01 15:47:00', (1, 8): '2021-01-01 15:48:00', (1, 9): '2021-01-01 15:49:00'}"
47,17,8,2021-01-02 11:30:00,23,30,1,"(7, 1)","(8, 0)",2,"[[7, 1], [8, 1], [8, 0]]","{(7, 1): '2021-01-02 11:30:00', (8, 1): '2021-01-02 11:31:00', (8, 0): '2021-01-02 11:32:00'}"
48,41,88,2021-01-01 20:12:00,8,12,4,"(1, 4)","(8, 8)",11,"[[1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [8, 5], [8, 6], [8, 7], [8, 8]]","{(1, 4): '2021-01-01 20:12:00', (2, 4): '2021-01-01 20:13:00', (3, 4): '2021-01-01 20:14:00', (4, 4): '2021-01-01 20:15:00', (5, 4): '2021-01-01 20:16:00', (6, 4): '2021-01-01 20:17:00', (7, 4): '2021-01-01 20:18:00', (8, 4): '2021-01-01 20:19:00', (8, 5): '2021-01-01 20:20:00', (8, 6): '2021-01-01 20:21:00', (8, 7): '2021-01-01 20:22:00', (8, 8): '2021-01-01 20:23:00'}"
49,35,35,2021-01-01 18:28:00,6,28,1,"(5, 3)","(5, 3)",0,"[[5, 3]]","{(5, 3): '2021-01-01 18:28:00'}"
50,60,4,2021-01-02 11:14:00,23,14,1,"(0, 6)","(4, 0)",10,"[[0, 6], [1, 6], [2, 6], [3, 6], [4, 6], [4, 5], [4, 4], [4, 3], [4, 2], [4, 1], [4, 0]]","{(0, 6): '2021-01-02 11:14:00', (1, 6): '2021-01-02 11:15:00', (2, 6): '2021-01-02 11:16:00', (3, 6): '2021-01-02 11:17:00', (4, 6): '2021-01-02 11:18:00', (4, 5): '2021-01-02 11:19:00', (4, 4): '2021-01-02 11:20:00', (4, 3): '2021-01-02 11:21:00', (4, 2): '2021-01-02 11:22:00', (4, 1): '2021-01-02 11:23:00', (4, 0): '2021-01-02 11:24:00'}"
51,0,20,2021-01-02 10:00:00,22,0,5,"(0, 0)","(0, 2)",2,"[[0, 0], [0, 1], [0, 2]]","{(0, 0): '2021-01-02 10:00:00', (0, 1): '2021-01-02 10:01:00', (0, 2): '2021-01-02 10:02:00'}"
52,75,66,2021-01-01 13:16:00,1,16,4,"(5, 7)","(6, 6)",2,"[[5, 7], [6, 7], [6, 6]]","{(5, 7): '2021-01-01 13:16:00', (6, 7): '2021-01-01 13:17:00', (6, 6): '2021-01-01 13:18:00'}"
53,28,84,2021-01-02 00:53:00,12,53,2,"(8, 2)","(4, 8)",10,"[[8, 2], [7, 2], [6, 2], [5, 2], [4, 2], [4, 3], [4, 4], [4, 5], [4, 6], [4, 7], [4, 8]]","{(8, 2): '2021-01-02 00:53:00', (7, 2): '2021-01-02 00:54:00', (6, 2): '2021-01-02 00:55:00', (5, 2): '2021-01-02 00:56:00', (4, 2): '2021-01-02 00:57:00', (4, 3): '2021-01-02 00:58:00', (4, 4): '2021-01-02 00:59:00', (4, 5): '2021-01-02 01:00:00', (4, 6): '2021-01-02 01:01:00', (4, 7): '2021-01-02 01:02:00', (4, 8): '2021-01-02 01:03:00'}"
54,41,49,2021-01-01 14:02:00,2,2,2,"(1, 4)","(9, 4)",8,"[[1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4]]","{(1, 4): '2021-01-01 14:02:00', (2, 4): '2021-01-01 14:03:00', (3, 4): '2021-01-01 14:04:00', (4, 4): '2021-01-01 14:05:00', (5, 4): '2021-01-01 14:06:00', (6, 4): '2021-01-01 14:07:00', (7, 4): '2021-01-01 14:08:00', (8, 4): '2021-01-01 14:09:00', (9, 4): '2021-01-01 14:10:00'}"
55,46,32,2021-01-02 05:34:00,17,34,3,"(6, 4)","(2, 3)",5,"[[6, 4], [5, 4], [4, 4], [3, 4], [2, 4], [2, 3]]","{(6, 4): '2021-01-02 05:34:00', (5, 4): '2021-01-02 05:35:00', (4, 4): '2021-01-02 05:36:00', (3, 4): '2021-01-02 05:37:00', (2, 4): '2021-01-02 05:38:00', (2, 3): '2021-01-02 05:39:00'}"
